enxadrista_id,@id,url,player_id,username,nome,titulo,pais,nome_pais,continente,bandeira_url,avatar,seguidores,data_entrada,status,is_streamer,verificado,origem
1,https://api.chess.com/pub/player/hikaru,https://www.chess.com/member/Hikaru,15448422,hikaru,Hikaru Nakamura,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/15448422.88c010c1.200x200o.3c5619f5441e.png,1371954,2014-01-06,premium,True,False,chess.com
2,https://api.chess.com/pub/player/denlaz,https://www.chess.com/member/DenLaz,34145346,denlaz,Denis Lazavik,GM,BY,Belarus,Europa,https://flagcdn.com/w320/by.png,https://images.chesscomfiles.com/uploads/v1/user/34145346.088fe903.200x200o.497edc350e6a.webp,1400,2017-03-21,premium,False,False,chess.com
3,https://api.chess.com/pub/player/magnuscarlsen,https://www.chess.com/member/MagnusCarlsen,3889224,magnuscarlsen,Magnus Carlsen,GM,NO,Noruega,Europa,https://flagcdn.com/w320/no.png,https://images.chesscomfiles.com/uploads/v1/user/3889224.121e2094.200x200o.361c2f8a59c2.jpg,281096,2010-08-26,premium,False,False,chess.com
4,https://api.chess.com/pub/player/rpragchess,https://www.chess.com/member/rpragchess,28692936,rpragchess,Praggnanandhaa Rameshbabu,GM,IN,Índia,Ásia,https://flagcdn.com/w320/in.png,https://images.chesscomfiles.com/uploads/v1/user/28692936.02da0bac.200x200o.d0b1b8f66ac2.jpg,12458,2016-06-19,premium,False,False,chess.com
5,https://api.chess.com/pub/player/gurelediz,https://www.chess.com/member/gurelediz,50386860,gurelediz,Ediz Gürel,GM,TR,Turkey,Ásia,https://flagcdn.com/w320/tr.png,https://images.chesscomfiles.com/uploads/v1/user/50386860.8f4bcdc7.200x200o.52a55edd9e84.jpg,6096,2018-10-04,premium,False,False,chess.com
6,https://api.chess.com/pub/player/gmwso,https://www.chess.com/member/GMWSO,30366824,gmwso,Wesley So,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/30366824.22d6b1f8.200x200o.bf8ce3f933fc.jpg,10728,2016-10-13,premium,False,False,chess.com
7,https://api.chess.com/pub/player/sibelephant,https://www.chess.com/member/Sibelephant,33903360,sibelephant,Vladislav Artemiev,GM,RU,Russian Federation,Europa,https://flagcdn.com/w320/ru.png,https://images.chesscomfiles.com/uploads/v1/user/33903360.eba9f5a2.200x200o.578bfd0b2e17.jpeg,3018,2017-03-12,premium,False,False,chess.com
8,https://api.chess.com/pub/player/nihalsarin,https://www.chess.com/member/nihalsarin,7195919,nihalsarin,Nihal Sarin,GM,IN,Índia,Ásia,https://flagcdn.com/w320/in.png,https://images.chesscomfiles.com/uploads/v1/user/7195919.159050ca.200x200o.883e75faf64e.jpg,20076,2012-04-05,premium,True,False,chess.com
9,https://api.chess.com/pub/player/mishanick,https://www.chess.com/member/mishanick,17860442,mishanick,Aleksei Sarana,GM,RS,Sérvia,Europa,https://flagcdn.com/w320/rs.png,https://images.chesscomfiles.com/uploads/v1/user/17860442.d25fa08e.200x200o.81d6cc6b6581.png,2379,2014-06-28,premium,False,False,chess.com
10,https://api.chess.com/pub/player/firouzja2003,https://www.chess.com/member/Firouzja2003,42022994,firouzja2003,Alireza Firouzja,GM,FR,França,Europa,https://flagcdn.com/w320/fr.png,https://images.chesscomfiles.com/uploads/v1/user/42022994.2c7a0722.200x200o.3088f5180d8d.jpg,30614,2018-01-05,premium,False,False,chess.com
11,https://api.chess.com/pub/player/hansontwitch,https://www.chess.com/member/HansOnTwitch,88920388,hansontwitch,Hans Niemann,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,,5772,2020-08-12,premium,False,False,chess.com
12,https://api.chess.com/pub/player/polish_fighter3000,https://www.chess.com/member/Polish_fighter3000,47485766,polish_fighter3000,Jan-Krzysztof Duda,GM,PL,Polônia,Europa,https://flagcdn.com/w320/pl.png,https://images.chesscomfiles.com/uploads/v1/user/47485766.de241c41.200x200o.7b706ebf58e7.jpeg,8543,2018-06-29,premium,False,False,chess.com
13,https://api.chess.com/pub/player/philippians46,https://www.chess.com/member/Philippians46,207852275,philippians46,Andy Woodward,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/207852275.b5fd5b9c.200x200o.2658380fdb00.png,2010,2022-11-21,premium,False,False,chess.com
14,https://api.chess.com/pub/player/mykola-bortnyk,https://www.chess.com/member/Mykola-Bortnyk,35895346,mykola-bortnyk,Mykola Bortnyk,IM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/35895346.3571bef9.200x200o.a1ca3885e2f9.png,2286,2017-05-29,premium,False,False,chess.com
15,https://api.chess.com/pub/player/javokhir_sindarov05,https://www.chess.com/member/Javokhir_Sindarov05,330779979,javokhir_sindarov05,Javokhir Sindarov,GM,UZ,Uzbekistan,Ásia,https://flagcdn.com/w320/uz.png,https://images.chesscomfiles.com/uploads/v1/user/330779979.94d8134b.200x200o.1e0c8c8f4314.jpg,778,2023-12-06,premium,False,False,chess.com
16,https://api.chess.com/pub/player/spicycaterpillar,https://www.chess.com/member/spicycaterpillar,52129472,spicycaterpillar,Ray Robson,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/52129472.c1bdd2d7.200x200o.30201b8ea497.jpeg,3163,2018-11-21,premium,False,False,chess.com
17,https://api.chess.com/pub/player/vi_pranav,https://www.chess.com/member/vi_pranav,93593240,vi_pranav,Pranav V,GM,IN,Índia,Ásia,https://flagcdn.com/w320/in.png,https://images.chesscomfiles.com/uploads/v1/user/93593240.10fc5f09.200x200o.d1f519160672.jpg,1804,2020-10-21,premium,False,False,chess.com
18,https://api.chess.com/pub/player/twitch_elhamblitz05,https://www.chess.com/member/Twitch_ElhamBlitz05,76811198,twitch_elhamblitz05,Elham Amar,GM,NO,Noruega,Europa,https://flagcdn.com/w320/no.png,,1001,2020-04-15,premium,False,False,chess.com
19,https://api.chess.com/pub/player/jefferyx,https://www.chess.com/member/jefferyx,11474230,jefferyx,Jeffery Xiong,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/11474230.1802ddb7.200x200o.60d5d5608100.jpeg,2703,2013-04-11,premium,True,False,chess.com
20,https://api.chess.com/pub/player/nikotheodorou,https://www.chess.com/member/NikoTheodorou,108520120,nikotheodorou,Nikolas Theodorou,GM,GR,Grécia,Europa,https://flagcdn.com/w320/gr.png,https://images.chesscomfiles.com/uploads/v1/user/108520120.b86cc966.200x200o.d85a0c84f2ae.jpg,13848,2020-12-31,premium,False,False,chess.com
21,https://api.chess.com/pub/player/lyonbeast,https://www.chess.com/member/LyonBeast,17306408,lyonbeast,Maxime Vachier-Lagrave,GM,FR,França,Europa,https://flagcdn.com/w320/fr.png,https://images.chesscomfiles.com/uploads/v1/user/17306408.203effc9.200x200o.34baf459f6b7.jpg,15055,2014-05-15,premium,True,False,chess.com
22,https://api.chess.com/pub/player/konavets,https://www.chess.com/member/Konavets,8829034,konavets,Sam Sevian,GM,US,Estados Unidos,América do Norte,https://flagcdn.com/w320/us.png,https://images.chesscomfiles.com/uploads/v1/user/8829034.6d90a567.200x200o.60d12a06fdce.jpeg,1306,2012-09-08,premium,False,False,chess.com
23,https://api.chess.com/pub/player/artooon,https://www.chess.com/member/artooon,55724226,artooon,Pranesh M,GM,XX,,Não Informado,,https://images.chesscomfiles.com/uploads/v1/user/55724226.0ba82cd8.200x200o.daac4ae34c55.jpeg,1649,2019-01-09,premium,False,False,chess.com
